des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 GV2,5,2460409.678221205,2024-Apr-09 04:17,0.000719037799576872,0.000718474908997658,0.000719600529648371,4.71620417804652,3.85114866717998,< 00:01,29.18
2024 GQ1,1,2460409.971518187,2024-Apr-09 11:19,0.00370411060638214,0.00369154005957334,0.00371668055906963,13.417371162053,13.3636517507131,< 00:01,28.53
2024 GY4,1,2460410.005425820,2024-Apr-09 12:08,0.000844007138198947,0.000835387504717599,0.000852615790143208,9.3330036653177,8.98838576920925,00:03,29.55
2024 GE,2,2460410.311810561,2024-Apr-09 19:29,0.0707250277264928,0.0703550349543128,0.0710950156607654,7.74428052984832,7.73941427753067,00:06,25.73
2022 OB5,9,2460410.413887611,2024-Apr-09 21:56,0.0681813513353472,0.0681763122337875,0.0681864340333119,1.570887924964,1.54581055665129,04:31,28.92
2024 GX3,4,2460410.851743501,2024-Apr-10 08:27,0.000478308808926095,0.000477605688476393,0.000479011699814277,10.1653433323412,9.60171618446583,< 00:01,29.71
2024 GJ5,6,2460411.035508153,2024-Apr-10 12:51,0.019017797739816,0.0189146303838979,0.0191209605681937,8.27584673882238,8.25890006075185,< 00:01,26.73
2024 FZ3,5,2460411.054508260,2024-Apr-10 13:18,0.0634664175133498,0.0632734497970871,0.0636593837732049,8.23899138669376,8.23389422177409,< 00:01,25.28
2024 FL1,9,2460411.068935247,2024-Apr-10 13:39,0.08567159664942,0.0855865007886799,0.0857566923800373,8.99330557680542,8.98984666354962,< 00:01,24.28
2024 FT2,5,2460411.089750687,2024-Apr-10 14:09,0.0301639810223287,0.0299847083707485,0.0303432510017861,11.8603452047585,11.8528950929355,< 00:01,25.14
2021 PT3,3,2460411.383711875,2024-Apr-10 21:13,0.0747417458364551,0.0566710143945337,0.115878327172727,8.06450613922627,8.06008442756845,5_13:25,25.66
2024 GP5,2,2460411.643123877,2024-Apr-11 03:26,0.0443601494915063,0.0438123842139423,0.0449079105919275,19.7009129908096,19.6978639263098,< 00:01,24.83
2024 GY5,3,2460411.741335711,2024-Apr-11 05:48,0.00529686812425922,0.00527521119780238,0.0053185243307874,15.6692636239294,15.6371277450508,< 00:01,27.86
