des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h,diameter,diameter_sigma,fullname
2023 CR2,2,2459996.287755827,2023-Feb-20 18:54,0.049167111662964,0.0478519083599596,0.0504822893496208,17.3041167092197,17.3009846675577,< 00:01,26.13,,,       (2023 CR2)
2023 DF,3,2459996.578728696,2023-Feb-21 01:53,0.0111367995058871,0.0111151655531292,0.0111584330443505,9.75543078976054,9.73087508314081,< 00:01,27.05,,,       (2023 DF)
2023 DP,7,2459996.937028229,2023-Feb-21 10:29,0.014528571100999,0.0144931133464926,0.014564028573289,14.9705810165509,14.9583255852902,< 00:01,25.33,,,       (2023 DP)
2023 DE2,8,2459997.046857244,2023-Feb-21 13:07,0.0326608923476226,0.0325388105695399,0.0327829711701226,7.1040879460588,7.09259510449407,< 00:01,24.86,,,       (2023 DE2)
37638,103,2459997.289110181,2023-Feb-21 18:56,0.0436347397840501,0.0436347376548043,0.0436347419132985,11.0733719769503,11.0678561801966,< 00:01,19.28,,, 37638 (1993 VB)
2023 AA2,21,2459997.779267994,2023-Feb-22 06:42,0.0444989314838211,0.0444916686705333,0.0445061942945036,10.1427975648219,10.1368924076903,< 00:01,22.20,,,       (2023 AA2)
2023 FW,2,2459997.884928367,2023-Feb-22 09:14,0.0166154582532881,0.0165114615664654,0.0167194264887741,3.71481515618435,3.67139329155277,00:35,27.02,,,       (2023 FW)
2023 CM2,8,2459998.114596669,2023-Feb-22 14:45,0.0054813491206245,0.00547210957439226,0.00549058842881595,11.2468082867491,11.203503838963,< 00:01,26.07,,,       (2023 CM2)
2023 DE,4,2459998.398944371,2023-Feb-22 21:34,0.0221106671663426,0.0219914766079044,0.0222298566455638,16.8643331746524,16.8571860168092,< 00:01,25.80,,,       (2023 DE)
2023 CS1,6,2459998.704933617,2023-Feb-23 04:55,0.0385908113875373,0.0383973188711228,0.0387843006944398,9.14125511584832,9.13369893839023,< 00:01,25.31,,,       (2023 CS1)
2023 HM4,26,2459999.515871102,2023-Feb-24 00:23,0.0288115626228384,0.0288093119170802,0.0288138132586452,0.826152857694192,0.705386074607864,00:03,27.69,,,       (2023 HM4)
2023 DS1,1,2459999.714289641,2023-Feb-24 05:09,0.0130696514295548,0.0129974507171899,0.0131418533288836,10.1462162073942,10.1261032976318,00:07,25.80,,,       (2023 DS1)
2023 EB,11,2459999.851845372,2023-Feb-24 08:27,0.013312695290221,0.013308538371556,0.0133168521936952,7.83128510747549,7.80568606474583,< 00:01,26.20,,,       (2023 EB)
2023 DG2,5,2460000.534497510,2023-Feb-25 00:50,0.02668160939392,0.0265838639145091,0.0267793503324017,5.61505399852118,5.59724104999652,< 00:01,25.79,,,       (2023 DG2)
2023 DL1,4,2460000.684237320,2023-Feb-25 04:25,0.0111267915817491,0.0110932921162749,0.0111602897378892,8.41987444127083,8.39138577427842,< 00:01,26.99,,,       (2023 DL1)
2023 DR,2,2460000.740726883,2023-Feb-25 05:47,0.000507276868269654,0.000506993700600492,0.000507560025863486,13.9635006528907,13.5821324013762,< 00:01,29.90,,,       (2023 DR)
2023 FY,3,2460000.863342505,2023-Feb-25 08:43,0.0373723549912953,0.0371279382441053,0.0376164177952483,1.13545541600921,1.07082588524672,00:49,28.58,,,       (2023 FY)
2023 DK,2,2460000.942690553,2023-Feb-25 10:37,0.0168204133755045,0.0167567609707348,0.016884056422977,4.03913477880379,3.99972434003387,00:01,27.98,,,       (2023 DK)
2023 DH1,6,2460001.013913699,2023-Feb-25 12:20,0.00723854109048426,0.0072273262447349,0.00724975543513659,7.04766977690643,6.9952453080981,< 00:01,26.72,,,       (2023 DH1)
2023 DX1,8,2460001.089229719,2023-Feb-25 14:08,0.0146840389531167,0.0146341297132354,0.0147339452104761,6.36202497709489,6.33343931628108,< 00:01,25.66,,,       (2023 DX1)
2023 CG1,7,2460001.274945220,2023-Feb-25 18:36,0.03891271831966,0.0387798113457875,0.0390456223230118,6.47998298658139,6.46940747327695,< 00:01,25.25,,,       (2023 CG1)
2023 DA,14,2460002.057425286,2023-Feb-26 13:23,0.00715370360084774,0.00714510967699652,0.00716229708211987,5.87584742407572,5.81211320476958,< 00:01,26.42,,,       (2023 DA)
2023 CX2,7,2460002.592632652,2023-Feb-27 02:13,0.0194562094104967,0.0194549891636522,0.019457429648717,2.2885634522008,2.22792003098909,< 00:01,27.47,,,       (2023 CX2)
2023 CC2,10,2460003.287976638,2023-Feb-27 18:55,0.0414779583059006,0.0413762320906943,0.0415796820066361,5.05315965536848,5.04043109491036,< 00:01,25.31,,,       (2023 CC2)
2023 FL1,1,2460003.326661762,2023-Feb-27 19:50,0.0347026325613143,0.0343052612575773,0.0350999861517777,8.72275440572793,8.71394765743872,00:11,26.02,,,       (2023 FL1)
2012 DK31,20,2460003.336839335,2023-Feb-27 20:05,0.0323433792615106,0.0323429367739392,0.032343821752998,15.5426373851568,15.5373361591646,< 00:01,21.98,,,       (2012 DK31)
2023 FS4,2,2460003.341305290,2023-Feb-27 20:11,0.0386777708167931,0.0386307929554042,0.0387247422813483,1.59808390133104,1.55437891955747,< 00:01,27.62,,,       (2023 FS4)
2023 EA,1,2460003.483890982,2023-Feb-27 23:37,0.00428873956596212,0.00427599513501165,0.00430148376647499,18.7280419747299,18.6948391174721,00:01,26.69,,,       (2023 EA)
2023 DR1,3,2460004.303268742,2023-Feb-28 19:17,0.0133513757289342,0.0133267865852913,0.0133759640410871,6.5741317238204,6.54370507575533,< 00:01,27.80,,,       (2023 DR1)
2006 BE55,48,2460004.481755469,2023-Feb-28 23:34,0.023936437868803,0.0239364102768416,0.0239364654607657,13.3239543855784,13.3155972793965,< 00:01,21.98,,,       (2006 BE55)
